SSDA Sea &;Sun Techn;ology's Sta;ndard Data;Acquisiti;on softw;are packa;ge rev 2.18;1.06;0.2015;;;
C:\SST_SDA\;CONFIG\CT;M980.SPJ;;;;;;;;;;
19-4-2021 00:00;16:16:30;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
StandardDat;aAcquisit;ion SDA (C);opyright b;y T. Finge;r 1999-2;15;;;;;;
;;;;;;;;;;;;
001 CTM980;001  P  P;ress  dbar;-51.364.800;0,00E+00;17.754;3000000E-;0002  1.8629;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
165;16:07:15;19-4-2021;3.92;0.224;0.0323;101.69;14.74;7.25;0.25;-0.05;0.025;11.76
166;16:07:15;19-4-2021;3.96;0.223;0.0323;101.67;14.74;7.26;0.29;-0.05;0.025;11.77
167;16:07:15;19-4-2021;3.96;0.222;0.0324;101.71;14.75;7.26;0.27;-0.05;0.0251;11.77
168;16:07:15;19-4-2021;4.03;0.223;0.0323;101.71;14.75;7.26;0.26;-0.05;0.025;11.76
169;16:07:15;19-4-2021;4.14;0.223;0.0324;101.72;14.75;7.26;0.26;-0.05;0.0251;11.76
170;16:07:16;19-4-2021;4.15;0.223;0.0324;101.72;14.75;7.26;0.25;-0.05;0.0251;11.77
171;16:07:16;19-4-2021;4.26;0.222;0.0323;101.74;14.75;7.26;0.29;-0.05;0.025;11.77
172;16:07:16;19-4-2021;4.28;0.222;0.0323;101.67;14.74;7.26;0.29;-0.05;0.025;11.76
173;16:07:16;19-4-2021;4.31;0.221;0.0324;101.64;14.74;7.26;0.27;-0.05;0.0251;11.76
174;16:07:16;19-4-2021;4.31;0.223;0.0324;101.63;14.73;7.26;0.28;-0.05;0.0251;11.77
175;16:07:16;19-4-2021;4.33;0.223;0.0323;101.62;14.73;7.26;0.27;-0.04;0.025;11.76
176;16:07:16;19-4-2021;4.38;0.223;0.0323;101.64;14.73;7.26;0.28;-0.04;0.025;11.77
177;16:07:17;19-4-2021;4.42;0.223;0.0323;101.59;14.73;7.26;0.32;-0.05;0.025;11.77
178;16:07:17;19-4-2021;4.47;0.223;0.0324;101.62;14.73;7.26;0.31;-0.05;0.0251;11.77
179;16:07:17;19-4-2021;4.56;0.223;0.0324;101.68;14.74;7.26;0.3;-0.07;0.0251;11.76
180;16:07:17;19-4-2021;4.62;0.222;0.0324;101.67;14.74;7.26;0.29;-0.05;0.0251;11.76
181;16:07:17;19-4-2021;4.65;0.222;0.0324;101.66;14.74;7.26;0.29;-0.05;0.0251;11.79
182;16:07:17;19-4-2021;4.67;0.223;0.0324;101.68;14.74;7.26;0.28;-0.05;0.0251;11.77
183;16:07:17;19-4-2021;4.69;0.223;0.0324;101.67;14.74;7.26;0.29;-0.05;0.0251;11.77
184;16:07:18;19-4-2021;4.69;0.223;0.0324;101.65;14.74;7.27;0.31;-0.06;0.0251;11.77
185;16:07:18;19-4-2021;4.72;0.223;0.0323;101.6;14.73;7.27;0.32;-0.06;0.025;11.76
186;16:07:18;19-4-2021;4.78;0.223;0.0324;101.62;14.73;7.27;0.32;-0.06;0.0251;11.76
187;16:07:18;19-4-2021;4.83;0.223;0.0323;101.65;14.74;7.27;0.3;-0.05;0.025;11.76
188;16:07:18;19-4-2021;4.86;0.223;0.0324;101.63;14.73;7.27;0.3;-0.05;0.0251;11.77
189;16:07:18;19-4-2021;4.99;0.222;0.0324;101.6;14.73;7.27;0.31;-0.05;0.0251;11.77
190;16:07:19;19-4-2021;5.04;0.223;0.0323;101.57;14.72;7.27;0.31;-0.05;0.025;11.77
191;16:07:19;19-4-2021;5.13;0.223;0.0324;101.65;14.74;7.27;0.31;-0.05;0.0251;11.77
192;16:07:19;19-4-2021;5.22;0.223;0.0324;101.6;14.73;7.27;0.31;-0.05;0.0251;11.76
193;16:07:19;19-4-2021;5.25;0.223;0.0324;101.6;14.73;7.27;0.33;-0.05;0.0251;11.77
194;16:07:19;19-4-2021;5.31;0.223;0.0324;101.61;14.73;7.27;0.31;-0.05;0.0251;11.77
195;16:07:19;19-4-2021;5.38;0.223;0.0324;101.62;14.73;7.27;0.31;-0.05;0.0251;11.77
196;16:07:19;19-4-2021;5.49;0.223;0.0324;101.58;14.73;7.27;0.31;-0.05;0.0251;11.77
197;16:07:20;19-4-2021;5.52;0.223;0.0323;101.55;14.72;7.27;0.29;-0.05;0.025;11.77
198;16:07:20;19-4-2021;5.57;0.223;0.0324;101.53;14.72;7.27;0.3;-0.05;0.0251;11.77
199;16:07:20;19-4-2021;5.59;0.224;0.0324;101.56;14.72;7.27;0.32;-0.05;0.0251;11.76
200;16:07:20;19-4-2021;5.7;0.223;0.0324;101.51;14.72;7.27;0.31;-0.05;0.0251;11.77
201;16:07:20;19-4-2021;5.73;0.223;0.0324;101.58;14.73;7.27;0.3;-0.05;0.0251;11.77
202;16:07:20;19-4-2021;5.77;0.223;0.0324;101.62;14.73;7.27;0.32;-0.05;0.0251;11.77
203;16:07:20;19-4-2021;5.81;0.223;0.0324;101.6;14.73;7.28;0.32;-0.05;0.0251;11.77
204;16:07:21;19-4-2021;5.86;0.223;0.0324;101.58;14.73;7.28;0.32;-0.05;0.0251;11.76
205;16:07:21;19-4-2021;5.88;0.223;0.0324;101.6;14.73;7.28;0.31;-0.05;0.0251;11.76
206;16:07:21;19-4-2021;5.89;0.223;0.0324;101.6;14.73;7.28;0.32;-0.05;0.0251;11.77
207;16:07:21;19-4-2021;5.91;0.223;0.0324;101.59;14.73;7.28;0.3;-0.05;0.0251;11.76
208;16:07:21;19-4-2021;5.95;0.223;0.0324;101.56;14.72;7.28;0.3;-0.06;0.0251;11.77
209;16:07:21;19-4-2021;5.98;0.223;0.0324;101.55;14.72;7.28;0.3;-0.06;0.0251;11.76
210;16:07:22;19-4-2021;6.11;0.223;0.0324;101.54;14.72;7.28;0.31;-0.05;0.0251;11.77
211;16:07:22;19-4-2021;6.16;0.222;0.0323;101.56;14.72;7.28;0.33;-0.05;0.025;11.76
212;16:07:22;19-4-2021;6.27;0.223;0.0323;101.52;14.72;7.28;0.32;-0.05;0.025;11.76
213;16:07:22;19-4-2021;6.3;0.223;0.0324;101.57;14.72;7.28;0.31;-0.05;0.0251;11.77
214;16:07:22;19-4-2021;6.37;0.221;0.0324;101.61;14.73;7.28;0.31;-0.05;0.0251;11.77
215;16:07:22;19-4-2021;6.43;0.221;0.0324;101.57;14.73;7.28;0.32;-0.05;0.0251;11.77
216;16:07:22;19-4-2021;6.5;0.221;0.0324;101.54;14.72;7.28;0.32;-0.05;0.0251;11.77
217;16:07:23;19-4-2021;6.59;0.221;0.0324;101.57;14.73;7.28;0.32;-0.05;0.0251;11.76
218;16:07:23;19-4-2021;6.61;0.222;0.0324;101.57;14.73;7.28;0.34;-0.05;0.0251;11.76
